Recording Name,Subject,Metric,Value,SubjectID,Block,Module
p01-r2,被试001,Power(ms²),582.0414731963148,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Power Percent(%),22.22507153394863,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Peak(Hz),0.00390625,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power(ms²),1301.875153970771,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power Percent(%),49.7116953992583,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power Norm.,0.6552325673238047,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Peak(Hz),0.0615234375,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power(ms²),685.0150265464719,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power Percent(%),26.15708444832767,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power Norm.,0.3447674326761953,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Peak(Hz),0.150390625,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Total Power(ms²),2618.850842874683,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,LF/HF,1.900505979458906,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,SD1(ms),28.15872642572563,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,SD2(ms),82.32969253592891,export_P01_sheets,P,ECG HRV Nonlinear
